developers	commits	updates	class
12	145	49	strong
2	33	8	strong
4	100	8	strong
5	22	9	strong
2	31	8	strong
12	149	52	strong
5	97	28	strong
18	169	48	strong
4	98	7	strong
5	110	26	strong
4	73	6	strong
14	176	51	strong
4	71	6	strong
14	213	64	strong
12	154	57	strong
4	81	16	strong
9	124	41	strong
12	132	32	strong
8	119	34	strong
7	154	36	strong
13	176	53	strong
9	108	35	strong
9	116	40	strong
9	153	38	strong
9	161	44	strong
8	156	36	strong
12	302	56	strong
9	168	17	strong
13	296	36	strong
9	102	29	strong
11	157	7	strong
15	95	8	strong
5	168	46	strong
5	146	33	strong
3	122	32	strong
12	162	42	strong
9	139	27	strong
4	163	35	strong
5	118	28	strong
12	135	4	strong
9	94	29	strong
8	89	23	strong
12	167	51	strong
5	63	16	strong
10	161	6	strong
13	196	13	strong
11	118	31	strong
5	159	37	strong
3	133	63	strong
8	103	36	strong
5	154	26	strong
11	155	37	strong
12	118	38	strong
9	86	29	strong
8	111	35	strong
5	218	17	strong
8	173	42	strong
5	147	28	strong
5	80	21	strong
5	162	39	strong
5	122	38	strong
3	120	12	strong
17	182	18	strong
8	136	30	strong
9	241	31	strong
3	97	19	strong
5	155	40	strong
5	100	34	strong
8	272	40	strong
9	127	46	strong
11	147	29	strong
5	134	22	strong
13	120	5	strong
2	118	35	strong
3	87	19	strong
3	108	18	strong
5	152	20	strong
5	100	17	strong
9	181	17	strong
5	141	15	strong
6	175	27	strong
3	89	14	strong
2	124	24	strong
13	82	6	strong
3	132	21	strong
5	110	26	strong
5	146	32	strong
8	151	27	strong
5	89	22	strong
5	207	15	strong
3	97	16	strong
5	133	9	strong
12	169	48	strong
3	86	16	strong
5	166	32	strong
9	190	18	strong
2	105	18	strong
8	146	14	strong
2	110	28	strong
4	68	8	strong
5	88	20	strong
2	96	25	strong
3	77	16	strong
3	134	22	strong
9	252	37	strong
3	75	12	strong
3	49	6	strong
12	176	10	strong
5	97	20	strong
3	88	20	strong
3	95	23	strong
8	108	21	strong
5	160	35	strong
2	93	22	strong
5	81	22	strong
3	232	32	strong
5	182	11	strong
2	84	25	strong
3	166	26	strong
6	186	28	strong
3	97	16	strong
3	50	11	strong
3	65	23	strong
3	79	24	strong
2	130	20	strong
2	88	27	strong
3	81	17	strong
5	102	18	strong
2	104	27	strong
5	62	13	strong
3	141	29	strong
2	79	21	strong
5	88	17	strong
21	201	21	strong
5	236	9	strong
2	96	14	strong
5	110	22	strong
9	180	47	strong
2	133	18	strong
4	105	23	strong
4	123	20	strong
19	129	32	strong
5	147	24	strong
5	67	16	strong
14	168	16	strong
2	102	23	strong
5	117	23	strong
3	61	12	strong
3	95	14	strong
7	156	18	strong
3	83	18	strong
