developers	commits	updates	class
14	0	0	strong
11	135	7	strong
2	173	3	strong
12	50	10	strong
2	55	8	strong
11	98	17	strong
12	147	11	strong
7	49	4	strong
3	8	4	strong
3	0	0	strong
7	178	8	strong
4	63	12	strong
7	72	7	strong
2	110	1	strong
5	114	3	strong
5	17	8	strong
8	21	8	strong
13	51	8	strong
8	8	3	strong
6	33	5	strong
2	221	18	strong
12	113	3	strong
5	85	10	strong
7	168	7	strong
17	160	11	strong
3	97	0	strong
10	167	6	strong
10	132	6	strong
19	121	7	strong
6	122	4	strong
9	119	7	strong
3	97	0	strong
8	17	2	strong
8	19	2	strong
6	32	1	strong
5	124	2	strong
3	70	3	strong
6	80	2	strong
6	52	6	strong
5	15	5	strong
6	139	3	strong
5	11	5	strong
2	139	4	strong
12	159	5	strong
5	13	5	strong
2	77	4	strong
2	76	4	strong
5	14	5	strong
7	31	4	strong
5	13	5	strong
5	64	7	strong
5	13	5	strong
9	53	11	strong
5	14	5	strong
5	10	5	strong
12	140	4	strong
5	16	5	strong
5	11	5	strong
5	14	5	strong
5	15	5	strong
5	12	5	strong
4	147	5	strong
2	48	1	strong
5	12	5	strong
12	134	7	strong
4	25	2	less
2	50	1	less
4	161	7	less
5	135	13	less
2	111	0	less
4	47	8	less
2	77	8	less
12	61	19	less
16	53	10	less
6	27	0	less
2	76	2	less
4	63	3	less
2	74	2	less
10	95	11	less
2	65	1	less
4	61	1	less
2	128	0	less
4	105	3	less
4	57	3	less
9	86	3	less
5	17	5	less
10	3	0	less
4	17	2	less
5	18	5	less
6	25	0	less
11	28	4	less
5	16	5	less
3	20	1	less
9	16	5	less
2	74	3	less
2	46	1	less
4	44	4	less
4	72	7	less
10	55	4	less
7	97	6	less
3	29	2	less
2	108	2	less
5	19	5	less
8	157	4	less
5	16	5	less
5	56	9	less
4	19	2	less
5	131	4	less
4	91	4	less
4	56	0	less
4	36	3	less
2	33	0	less
2	11	3	less
6	32	3	less
4	76	5	less
2	72	2	less
11	109	2	less
5	20	5	less
4	30	0	less
5	63	2	less
11	46	8	less
10	39	10	less
4	30	3	less
5	42	3	less
4	110	3	less
2	16	6	less
4	36	4	less
4	18	6	less
6	92	2	less
15	60	19	less
4	36	0	less
4	62	1	less
2	49	4	less
11	78	4	less
2	28	5	less
4	79	5	less
2	60	1	less
7	53	3	less
2	75	3	less
5	16	5	less
2	36	10	less
2	37	2	less
2	16	4	less
4	73	1	less
5	33	5	less
8	33	5	less
2	88	3	less
6	18	7	less
6	8	0	less
24	92	7	less
5	49	3	less
2	86	3	less
6	17	0	less
21	63	4	less
5	12	5	less
4	61	4	less
5	77	2	less
5	15	5	less
2	53	2	less
2	88	5	less
4	81	3	less
4	87	5	less
2	51	3	less
22	77	3	less
5	12	5	less
5	115	1	less
6	67	0	less
6	51	3	less
21	76	3	less
14	79	7	less
6	14	0	less
8	3	1	less
4	97	3	less
2	71	16	less
8	4	0	less
4	32	2	less
4	49	2	less
5	67	6	less
2	61	5	less
2	114	3	less
2	70	1	less
4	29	4	less
4	21	4	less
5	13	5	less
12	31	6	less
2	70	2	less
2	37	2	less
5	162	11	less
7	74	5	less
6	5	2	less
8	67	0	less
2	65	3	less
4	48	0	less
5	105	3	less
5	14	5	less
21	32	2	less
15	91	8	less
11	130	9	less
5	44	4	less
12	87	12	less
2	27	3	less
6	7	0	less
21	35	5	less
